Update Names,Occurrence,Type,Further Tags
Use HOV Lanes,1,Self Driving,
Airbag System,1,Safety Feature,
Automatic 911 Calls,1,Safety Feature,
Blindspot Warning,2,Safety Feature,
BlindSpot Warning,1,Safety Feature,
Detect Emergency Vehicles,1,Safety Feature,
Emergency Lane Departure Avoidance,2,Safety Feature,
Faster Hazard Lights After a Crash,1,Safety Feature,
Lane Departure Avoidance,2,Safety Feature,
Navigate on Autopilot (Beta),7,Safety Feature,
Pedestrian Warning,1,Safety Feature,
Rear Seatbelt Reminder,1,Major Effects to Safety,Alerts
Adjacent Lane Speeds,1,Safety Feature,
Over-the-Air (OTA) Recall,2,Major Effects to Safety,Recall
Over-the-Air (OTA) recall,2,Major Effects to Safety,Recall
Over-the-Air Recall: Telltale Text Size,1,Major Effects to Safety,Recall
Speed Cameras on Your Route,1,Major Effects to Safety,
Additional Mobile App Controls,1,Not Affecting Safety,Non-Driving Feature
Camera View on Tesla App,2,Not Affecting Safety,Non-Driving Feature
Camera-Based Detection,1,Not Affecting Safety,Non-Driving Feature
Camp Mode,1,Not Affecting Safety,Non-Driving Feature
Car Left Open Notifications,2,Not Affecting Safety,Non-Driving Feature
Car Wash Mode,2,Not Affecting Safety,Non-Driving Feature
Disable Sentry Sounds,1,Not Affecting Safety,Non-Driving Feature
Dog Mode,5,Not Affecting Safety,Non-Driving Feature
Exclude Automatic Door Opening at Home,1,Not Affecting Safety,Non-Driving Feature
HomeLink,1,Not Affecting Safety,Non-Driving Feature
Key Fob Security,1,Not Affecting Safety,Non-Driving Feature Security
Keys,1,Not Affecting Safety,Non-Driving Feature
Live Camera Access,1,Not Affecting Safety,Non-Driving Feature
Mobile Access,1,Not Affecting Safety,Non-Driving Feature Security
Mobile App - Vent Windows,1,Not Affecting Safety,Non-Driving Feature
More Cameras in Live Camera View,1,Not Affecting Safety,Non-Driving Feature
myQ Connected Garage,1,Not Affecting Safety,Non-Driving Feature
PIN to Drive,1,Not Affecting Safety,Non-Driving Feature Security
Remote Drivers Door Unlock,1,Not Affecting Safety,Non-Driving Feature
Sentry Mode,7,Not Affecting Safety,Non-Driving Feature
Sentry Mode and Dog Mode,1,Not Affecting Safety,Non-Driving Feature
Sentry Mode Lighting,1,Not Affecting Safety,Non-Driving Feature
Sentry Mode Live Camera Access,4,Not Affecting Safety,Non-Driving Feature
Service Mode,1,Not Affecting Safety,Non-Driving Feature
Tesla App,1,Not Affecting Safety,Non-Driving Feature
Vehicle Preconditioning,1,Not Affecting Safety,Non-Driving Feature
Walk-Away Door Lock,1,Not Affecting Safety,Non-Driving Feature
Windows During an Update,1,Not Affecting Safety,Non-Driving Feature
Bug Fix,1,Minor Fix,
Bugfix,11,Minor Fix,
Bugfix (2022.44.30.1),1,Minor Fix,
Bugfix (2022.44.30),1,Minor Fix,
Bugfix and tweaks,1,Minor Fix,
Bugfix x00,1,Minor Fix,
Bugs Introduced in release,5,Minor Fix,
Efficiency,1,Minor Fix,Improvements
HW4 Fixes,1,Minor Fix,
Minor Fixes,31,Minor Fix,
Minor Updates,1,Minor Fix,
Passenger Face Vent,1,Minor Fix,
Peak Power Increase,1,Minor Fix,
Power Increase,1,Minor Fix,
Range Display Calibration,1,Minor Fix,
Seat and Steering Column Calibration,1,Minor Fix,
Security Improvements,1,Minor Fix,
Text Size,3,Minor Fix,
Top Speed Performance,1,Minor Fix,
Version Improvements,7,Minor Fix,
Active Road Noise Reduction,1,Minor Effects to Safety,
Adaptive Suspension Damping,3,Minor Effects to Safety,
Always Rainbows,1,Minor Effects to Safety,
Animal Visualizations,1,Minor Effects to Safety,
Auto High Beam,1,Minor Effects to Safety,
Auto-Folding Mirrors Based on Location,1,Minor Effects to Safety,
Backup Camera,1,Minor Effects to Safety,Mitigating Hazard
Car Visualization,1,Minor Effects to Safety,
Car Visuals,1,Minor Effects to Safety,
Customize the Scroll Wheel,2,Minor Effects to Safety,
Dashcam,8,Minor Effects to Safety,
Dashcam Viewer,4,Minor Effects to Safety,
Detect Uneven Tire Wear,1,Minor Effects to Safety,
Display,1,Minor Effects to Safety,
Driving Visualization,11,Minor Effects to Safety,
Driving Visualization Improvements,8,Minor Effects to Safety,
Extras,14,Minor Effects to Safety,
Fold Mirrors at a Location,1,Minor Effects to Safety,
Gear Chimes,2,Minor Effects to Safety,
GPS,1,Minor Effects to Safety,Feature Interaction
Green Traffic Light Chime,2,Minor Effects to Safety,
Icons in Status Bar,1,Minor Effects to Safety,
Increased Regenerative Braking in Cold Weather,1,Minor Effects to Safety,
Joe Mode,1,Minor Effects to Safety,
Location Sharing,1,Minor Effects to Safety,
Manage Dashcam Clips,1,Minor Effects to Safety,
Mirror Auto Dim,1,Minor Effects to Safety,
On-Route Battery Warmup,2,Minor Effects to Safety,
Regenerative Braking,4,Minor Effects to Safety,
Regenerative Braking in Autopilot,1,Minor Effects to Safety,
Regenerative Braking on Autopilot,1,Minor Effects to Safety,
Save Dashcam Clips,2,Minor Effects to Safety,
Side Repeater Cameras,1,Minor Effects to Safety,
Simplified Controls,1,Minor Effects to Safety,
Software,1,Minor Effects to Safety,OTA Updates
Software  Preference,2,Minor Effects to Safety,OTA Updates
Speed Bump Visualization,1,Minor Effects to Safety,
Stopping Mode,1,Minor Effects to Safety,
Suspension Instrument Panel Display,1,Minor Effects to Safety,
Traffic Aware Cruise Control Chime,1,Minor Effects to Safety,
Version 9.0,3,Minor Effects to Safety,
Visualizations,2,Minor Effects to Safety,
Wheel Configuration,1,Minor Effects to Safety,Adaptive
Windshield Wiper Defrost,1,Minor Effects to Safety,Adaptive
Wiper,1,Minor Effects to Safety,Adaptive
Add Stop,1,Map Software,
Alternate Routes,1,Map Software,
Alternative Navigation Routes,1,Map Software,
Alternative Routes While Driving,1,Map Software,
Compass / Always North,1,Map Software,
Destination Closing Soon,2,Map Software,
Edit Waypoints,1,Map Software,
Feeling Lucky or Hungry?,1,Map Software,
Hide Map Details,1,Map Software,
Introducing new Navigation (Beta),1,Map Software,
License Plate Routing,1,Map Software,
Maps,3,Map Software,
Navigation,6,Map Software,
Navigation Energy Prediction,1,Map Software,
Navigation Guidance View,1,Map Software,
Navigation Lane Guidance,1,Map Software,
Navigation Route,1,Map Software,
Navigation Routes,1,Map Software,
Navigation Voice Guidance,3,Map Software,
Nearby Superchargers,1,Map Software,
Points of Interest,2,Map Software,
Route Guidance,1,Map Software,
Routing and Maps,1,Map Software,
Superchargings List,1,Map Software,
Traffic Along Route,2,Map Software,
Traffic View,1,Map Software,
Trip Planner,1,Map Software,
Trip Planner (Beta),1,Map Software,
Trip Planner on Mobile App,1,Map Software,
EU Map Update EU-2022.40-14215 ,1,Map Data,
Third-Party Charging Stations,2,Map Data,
Adaptive High Beams,1,Major Effects to Safety,
Blind Spot Camera,4,Major Effects to Safety,
Cabin Camera,14,Major Effects to Safety,
Child Lock,1,Major Effects to Safety,
Combining Autosteer and Auto Lane Change,2,Major Effects to Safety,
Conditional Speed Limits,2,Major Effects to Safety,
Cruise Set Speed,1,Major Effects to Safety,
Daytime Running Lights,1,Major Effects to Safety,
Detailed Intersection View,1,Major Effects to Safety,
Driving Dynamics,1,Major Effects to Safety,
Dynamic Brake Lights,4,Major Effects to Safety,
High Speed Performance,1,Major Effects to Safety,
Launch Mode,1,Major Effects to Safety,
Ludicrous Mode Acceleration,1,Major Effects to Safety,
New Acceleration Mode,1,Major Effects to Safety,
Performance and Launch Mode,1,Major Effects to Safety,
Seat Belt Enhancement,1,Major Effects to Safety,
Seat Belt System Enhancement,1,Major Effects to Safety,
Single Pull to Start Autopilot,3,Major Effects to Safety,
Speed Assist,7,Major Effects to Safety,
Speed Assist #2,1,Major Effects to Safety,
Speed Limit Mode,1,Major Effects to Safety,
Steering Improvements,1,Major Effects to Safety,
Suspension,2,Major Effects to Safety,
Tesla Adaptive Suspension,1,Major Effects to Safety,
Track Mode,5,Major Effects to Safety,
Traffic Light and Stop Sign Control (Beta),6,Major Effects to Safety,
Yoke Behavior Changes,1,Major Effects to Safety,
Bopomofo Keyboard,1,Not Affecting Safety,Language Support
Handwriting Keyboard,1,Not Affecting Safety,Language Support
Hebrew Language Added,1,Not Affecting Safety,Language Support
Hebrew Voice Navigation,1,Not Affecting Safety,Language Support
Keyboard,1,Not Affecting Safety,Language Support
Language,3,Not Affecting Safety,Language Support
Language Support,19,Not Affecting Safety,Language Support
New Language Support,2,Not Affecting Safety,Language Support
Thai Voice Navigation,1,Not Affecting Safety,Language Support
Voice Command,1,Not Affecting Safety,Language Support
Voice Commands,1,Not Affecting Safety,Language Support
Voice Keyboard,1,Not Affecting Safety,Language Support
Voice Recognition,1,Not Affecting Safety,Language Support
Voice Recognition Language,3,Not Affecting Safety,Language Support
Additional Features in App,1,Fuel and Battery,
Battery Health,1,Fuel and Battery,
Battery Heating Performance,1,Fuel and Battery,
CCS Charging,1,Fuel and Battery,
CHAdeMO Adapter Support,1,Fuel and Battery,
Charge on Solar,2,Fuel and Battery,
Charge Port Inlet Heater,1,Fuel and Battery,
Charging Locations,1,Fuel and Battery,
Charging Options,1,Fuel and Battery,
Charging Time Estimation,1,Fuel and Battery,
Destination Charging Availability,1,Fuel and Battery,
Detailed Energy Usage,1,Fuel and Battery,
Emissions Testing Mode,2,Fuel and Battery,
Emissions Testing Mode via Mobile App,1,Fuel and Battery,
Energy App,3,Fuel and Battery,
Energy Line,1,Fuel and Battery,
Heat Pump & Low Voltage Battery,1,Fuel and Battery,
Improved Charging Efficiency,1,Fuel and Battery,
More Efficient Charging,1,Fuel and Battery,
Nearby Charging Sites,1,Fuel and Battery,
Out of Order Supercharger Stalls,1,Fuel and Battery,
Pay Per Use Supercharging,1,Fuel and Battery,
Predictive Charger Availability,1,Fuel and Battery,
Range Display,5,Fuel and Battery,
Reminder to Plug In at Home,1,Fuel and Battery,
Supercharger Additional Details,2,Fuel and Battery,
Supercharging,6,Fuel and Battery,
Supercharging Display,1,Fuel and Battery,
Unlatching Charge Cable,1,Fuel and Battery,
Apple Music,4,Not Affecting Safety,Entertainment
Apple Podcasts,1,Not Affecting Safety,Entertainment
Application Launcher,3,Not Affecting Safety,Entertainment
Audio Sources,1,Not Affecting Safety,Entertainment
Backgammon,2,Not Affecting Safety,Entertainment
Beach Buggy Racing 2,1,Not Affecting Safety,Entertainment
Bilibili,1,Not Affecting Safety,Entertainment
Bluetooth,2,Not Affecting Safety,Entertainment
Bluetooth Audio Progress Bar,1,Not Affecting Safety,Entertainment
Bluetooth Game Controllers,2,Not Affecting Safety,Entertainment
Bluetooth Games Controllers,1,Not Affecting Safety,Entertainment
Bluetooth Gaming Controllers,1,Not Affecting Safety,Entertainment
Boombox,3,Not Affecting Safety,Entertainment
Browser and Streaming Media,1,Not Affecting Safety,Entertainment
Calendar,1,Not Affecting Safety,Entertainment
Caraoke,2,Not Affecting Safety,Entertainment
Castle Doombad Game,1,Not Affecting Safety,Entertainment
Cat Quest,2,Not Affecting Safety,Entertainment
Chess,1,Not Affecting Safety,Entertainment
Cuphead,1,Not Affecting Safety,Entertainment
Cuphead - Tesla Edition,1,Not Affecting Safety,Entertainment
Customizable App Launcher,1,Not Affecting Safety,Entertainment
Disney+,2,Not Affecting Safety,Entertainment
Dou DiZhu,1,Not Affecting Safety,Entertainment
Fallout Shelter,1,Not Affecting Safety,Entertainment
Happy Mahjong,1,Not Affecting Safety,Entertainment
Immersive Sound,1,Not Affecting Safety,Entertainment
In App Mail,1,Not Affecting Safety,Entertainment
Light Show,2,Not Affecting Safety,Entertainment
Mahjong,2,Not Affecting Safety,Entertainment
Mango TV,2,Not Affecting Safety,Entertainment
Media,1,Not Affecting Safety,Entertainment
Media Controls,1,Not Affecting Safety,Entertainment
Media Controls (and information cards),1,Not Affecting Safety,Entertainment
Media Search,1,Not Affecting Safety,Entertainment
Media Sources,1,Not Affecting Safety,Entertainment
Media Volume,1,Not Affecting Safety,Entertainment
Multiplayer Vampire Survivors,1,Not Affecting Safety,Entertainment
Music Time Remaining over Bluetooth,1,Not Affecting Safety,Entertainment
NetEase Cloud Music,1,Not Affecting Safety,Entertainment
Phone,1,Not Affecting Safety,Entertainment
Play Games on Rear Screen,1,Not Affecting Safety,Entertainment
Pole Position,1,Not Affecting Safety,Entertainment
QQ Lyrics,1,Not Affecting Safety,Entertainment
QQ Music,2,Not Affecting Safety,Entertainment
Radio Station Logos,1,Not Affecting Safety,Entertainment
Rear Passenger Headphones,2,Not Affecting Safety,Entertainment
Refreshed QQ,1,Not Affecting Safety,Entertainment
Shengji,1,Not Affecting Safety,Entertainment
Sirius XM,3,Not Affecting Safety,Entertainment
Sketchpad,1,Not Affecting Safety,Entertainment
Sky Force Reloaded,1,Not Affecting Safety,Entertainment
Solitaire,1,Not Affecting Safety,Entertainment
Sonic,1,Not Affecting Safety,Entertainment
Sonic the Hedgehog,2,Not Affecting Safety,Entertainment
Spotify,2,Not Affecting Safety,Entertainment
Spotify Refresh,2,Not Affecting Safety,Entertainment
Stardew Valley,1,Not Affecting Safety,Entertainment
Status Bar,3,Not Affecting Safety,Entertainment
Steam (Beta),2,Not Affecting Safety,Entertainment
Sudoku,1,Not Affecting Safety,Entertainment
Tesla Arcade,1,Not Affecting Safety,Entertainment
Tesla Arcade Updates,1,Not Affecting Safety,Entertainment
Tesla Powerwall Coordination,2,Not Affecting Safety,Entertainment
Tesla Theater,4,Not Affecting Safety,Entertainment
Tesla Toybox,2,Not Affecting Safety,Entertainment
TeslaMic,2,Not Affecting Safety,Entertainment
TeslAtari ,1,Not Affecting Safety,Entertainment
TeslAtari Game Controller Support,1,Not Affecting Safety,Entertainment
Text Messaging,1,Not Affecting Safety,Entertainment
The Battle of Polytopia,1,Not Affecting Safety,Entertainment
Theater Mode,2,Not Affecting Safety,Entertainment
TIDAL,1,Not Affecting Safety,Entertainment
TikTok,1,Not Affecting Safety,Entertainment
TRAX,1,Not Affecting Safety,Entertainment
TRAX v0.1,1,Not Affecting Safety,Entertainment
TRAX v0.2,1,Not Affecting Safety,Entertainment
TuneIn,1,Not Affecting Safety,Entertainment
Vampire Survivors Game,3,Not Affecting Safety,Entertainment
Viewing Applications with Media Player Open,1,Not Affecting Safety,Entertainment
Voice Command Language,1,Not Affecting Safety,Entertainment
Web Browser,3,Not Affecting Safety,Entertainment
WeChat Mini Programs,1,Not Affecting Safety,Entertainment
Ximalaya,1,Not Affecting Safety,Entertainment
Zoom Meetings,3,Not Affecting Safety,Entertainment
Zoom Video Meetings,1,Not Affecting Safety,Entertainment
Tire Configuration,2,Diagnostics,
Tire Pressure API,1,Diagnostics,
Tire Pressure Monitoring System (TPMS),1,Diagnostics,
Tire Service,2,Diagnostics,
Tire Service Mileage,2,Diagnostics,
Accessibility,1,Not Affecting Safety,Comfort
Active Phone Calls,1,Not Affecting Safety,Comfort
Additional Bottom Bar Customization,1,Not Affecting Safety,Comfort
Air Quality Index and Weather,1,Not Affecting Safety,Comfort
Auto Rear Climate Controls,1,Not Affecting Safety,Comfort
Auto Steering Wheel Heat,2,Not Affecting Safety,Comfort
Automated Seat Heaters,1,Not Affecting Safety,Comfort
Bioweapon Defense Mode,1,Not Affecting Safety,Comfort
Cabin Overheat Protection,2,Not Affecting Safety,Comfort
Car Colorizer,1,Not Affecting Safety,Comfort
Climate Control,4,Not Affecting Safety,Comfort
Climate Control Fan Speed,1,Not Affecting Safety,Comfort
Close Windows on Lock,1,Not Affecting Safety,Comfort
Cloud Profiles,1,Not Affecting Safety,Comfort
Cold Weather,9,Not Affecting Safety,Comfort
Confirm Phone Call Transfer,1,Not Affecting Safety,Comfort
Contact Lookup,1,Not Affecting Safety,Comfort
Contact Lookup/Search,1,Not Affecting Safety,Comfort
Controls Search,2,Not Affecting Safety,Comfort
Custom Lock Sounds,1,Not Affecting Safety,Comfort
Dark Mode,1,Not Affecting Safety,Comfort
Display Brightness,1,Not Affecting Safety,Comfort
Driver Door Unlock Mode,2,Not Affecting Safety,Comfort
Driver Profiles,5,Not Affecting Safety,Comfort
Glovebox PIN,1,Not Affecting Safety,Comfort
Heating,1,Not Affecting Safety,Comfort
Keep Climate On,1,Not Affecting Safety,Comfort
Linking a Key to a Driver Profile,1,Not Affecting Safety,Comfort
Mobile App,5,Not Affecting Safety,Comfort
New V11 UI,1,Not Affecting Safety,Comfort
Notifications History,1,Not Affecting Safety,Comfort
Other Updates,2,Not Affecting Safety,Comfort
Passenger Seat Controls,2,Not Affecting Safety,Comfort
Phone Call Controls,2,Not Affecting Safety,Comfort
Priority Bluetooth Device,1,Not Affecting Safety,Comfort
Rear Cabin Climate,1,Not Affecting Safety,Comfort
Rear Display,2,Not Affecting Safety,Comfort
Rear Screen Control,1,Not Affecting Safety,Comfort
Redesigned Controls Panel,1,Not Affecting Safety,Comfort
Refresh Your Data Sharing Settings,1,Not Affecting Safety,Comfort Security
Remain Connected to Wi-Fi in Drive,1,Not Affecting Safety,Comfort
Romance Mode,1,Not Affecting Safety,Comfort
Scheduled Departure,2,Not Affecting Safety,Comfort
Scheduled Light Show,1,Not Affecting Safety,Comfort
Scroll Wheel Customization,2,Not Affecting Safety,Comfort
Steering Wheel Heat,1,Not Affecting Safety,Comfort
Steering Yoke Heat,1,Not Affecting Safety,Comfort
Subwoofer,1,Not Affecting Safety,Comfort
Tesla Profiles,1,Not Affecting Safety,Comfort
Vehicle Sync (Beta),1,Not Affecting Safety,Comfort Security
Warmer Display Colors,2,Not Affecting Safety,Comfort
Lock Confirmation Sound,2,Not Affecting Safety,Comfort Security
